first_air_date,id,name,origin_country,original_language,overview,poster_path,vote_average,genre_1,genre_2
2018-01-21,74016,The Resident,['US'],en,"A tough, brilliant senior resident guides an idealistic young doctor through his first day, pulling back the curtain on what really happens, both good and bad, in modern-day medicine.",https://image.tmdb.org/t/p/original/2IkYQJlT26yXef2iot7dhRtavSC.jpg,8.5,18,
1951-10-15,2730,I Love Lucy,['US'],en,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",https://image.tmdb.org/t/p/original/mPUSrFTvQqwEqTtfukxJBtkbxWj.jpg,8.0,35,10751
2018-10-16,79744,The Rookie,['US'],en,"Starting over isn’t easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force’s oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.",https://image.tmdb.org/t/p/original/jbMefmo6EjcvpOULP50nfMpGP70.jpg,8.3,80,18
2011-09-21,39358,Revenge,['US'],en,"When Emily Thorne moves to the Hamptons, everyone wonders about the new girl, but she knows everything about them, including what they did to her family. Years ago, they took everything from her. Now, one by one, she's going to make them pay.",https://image.tmdb.org/t/p/original/qx7XytRgg1F03NN5BoK8jx3Cyft.jpg,7.6,18,9648
2014-09-22,60708,Gotham,['US'],en,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",https://image.tmdb.org/t/p/original/4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg,7.6,18,80
1991-09-28,3840,The Commish,['US'],en,"Tony Scali is a former Brooklyn cop now the Police Commissioner of a small upstate city. But for Scali, this is no desk job. He's a tough yet compassionate boss, a loving husband and father, and a hands-on law enforcer with an unorthodox style of bending the rules. From parenthood to politics, from sex crimes to murder cases, one man takes it day-to-day with offbeat humor and street- smart skill.",https://image.tmdb.org/t/p/original/osvVYFdCtz223oOQmMcoM1N4JGP.jpg,7.1,18,35
1983-01-17,4384,Frontline,['US'],en,"Since it began in 1983, Frontline has been airing public-affairs documentaries that explore a wide scope of the complex human experience. Frontline's goal is to extend the impact of the documentary beyond its initial broadcast by serving as a catalyst for change.",https://image.tmdb.org/t/p/original/rEsUftFdD7PjkWmCrzqWoUYHbXv.jpg,7.6,99,10763
1994-09-12,4266,Party of Five,['US'],en,Five brothers and sisters are determined to stay together following the tragic loss of their parents.,https://image.tmdb.org/t/p/original/5LZgFeMynMeeKX8Bn9s1RWe9n9S.jpg,7.0,18,
2004-07-15,2290,Stargate Atlantis,"['CA', 'US']",en,"With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins.",https://image.tmdb.org/t/p/original/85RVg3bqSX9hUsGIBYjqc4qyT2C.jpg,8.0,10765,10759
2011-09-30,38974,Jessie,['US'],en,"An idealistic teen from rural Texas embarks on the adventure of a lifetime when she decides to leave behind starry nights for big city lights. Thrilled to be on her own and determined not to be intimidated by New York City, she accepts a job as nanny for a high-profile couple with four kids. Helping to keep her moral compass in check are Bertram, the family's butler, and Tony, the building's 20-year-old doorman.",https://image.tmdb.org/t/p/original/tspQe0FuiaUj0U1R1norNbiYTe4.jpg,8.1,35,10762
2009-09-17,18347,Community,['US'],en,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",https://image.tmdb.org/t/p/original/3KUjDt8XY7w2Ku70UE0SECmv1zP.jpg,8.0,35,
2012-07-08,45782,Sword Art Online,['JP'],ja,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...",https://image.tmdb.org/t/p/original/mK9zGGk90VmHLOnK79sqlGFjZjW.jpg,8.2,16,10765
1998-04-18,40424,Initial D,['JP'],ja,"Takumi’s job as a tofu delivery boy has turned him into one of the most formidable drivers around. Behind the wheel of his Eight-Six, he’s one with the road—and his life shifts into high gear when the underground street racing world takes notice. Drivers from across the region are lining up for a shot at the new guy. Takumi’s not just focused on winning—he’s out to prove he’s the best.",https://image.tmdb.org/t/p/original/7C1PMnV0uMrMNcfws5J7aLNxe3Q.jpg,8.0,16,
2007-02-15,31910,Naruto Shippūden,['JP'],ja,"After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work. It will not be easy though as he has amassed a few more dangerous enemies, in the likes of the shinobi organization; Akatsuki.",https://image.tmdb.org/t/p/original/kV27j3Nz4d5z8u6mN3EJw9RiLg2.jpg,8.6,16,10759
2008-01-20,1396,Breaking Bad,['US'],en,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",https://image.tmdb.org/t/p/original/3xnWaLQjelJDDF7LT1WBo6f4BRe.jpg,8.9,18,80
2018-01-03,75219,9-1-1,['US'],en,"Explore the high-pressure experiences of police officers, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. These emergency responders must try to balance saving those who are at their most vulnerable with solving the problems in their own lives.",https://image.tmdb.org/t/p/original/wx3HrDwUiESwkC7t76YeUGdoGwn.jpg,8.2,18,80
2010-09-12,33852,Lost Girl,['CA'],en,"The gorgeous and charismatic Bo is a supernatural being called a succubus who feeds on the energy of humans, sometimes with fatal results. Refusing to embrace her supernatural clan and its rigid hierarchy, Bo is a renegade who takes up the fight for the underdog while searching for the truth about her own mysterious origins.",https://image.tmdb.org/t/p/original/jE6sqorxIyVU55VhDbz7NbqxZlV.jpg,7.8,10765,18
1984-10-09,2304,Thomas & Friends,['GB'],en,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",https://image.tmdb.org/t/p/original/s8RtAklJqHo6iMtKz1FIVBm92R2.jpg,6.4,16,10762
2017-02-06,91759,Come Home Love: Lo and Behold,['HK'],cn,"Hung Sue Gan starting from the bottom, established his own logistics company, which is now running smoothly. His only concern now are his three daughters. His eldest daughter has immigrated overseas. His second daughter Hung Yeuk Shui has reached the marriageable age, but has no hopes for marriage anytime soon. She is constantly bickering with her younger sister Hung Sum Yue, who is an honour student, over trivial matters, causing their father to not know whether to laugh or cry. Hung Sue Yan, Hung Sue Gan's brother, moves in with the family, temporarily ending his life as a nomadic photographer. He joins Hung Yeuk Shui's company and encounters Ko Pak Fei, the director of an online shop. The two appear to be former lovers, making for lots of laughter. Since Hung Sue Yan moved in, a series of strange events have occurred in the family. Upon investigation, the source is traced to Lung Ging Fung, a promising young man who is the son of department store mogul Lung Gam Wai.",https://image.tmdb.org/t/p/original/lgD4j9gUGmMckZpWWRJjorWqGVT.jpg,5.5,10751,35
1981-01-15,3828,Hill Street Blues,['US'],en,A realistic glimpse into the daily lives of the officers and detectives at an urban police station.,https://image.tmdb.org/t/p/original/mMfqHsOeI0yLwifmfCRGTaItvTS.jpg,7.6,18,80
2013-01-21,45094,The Following,['US'],en,"Notorious serial killer Joe Carroll, after being found guilty of murdering 14 female students on the Virginia college campus where he taught literature, escapes from death row. The FBI calls former agent Ryan Hardy to consult on the case, as he was the one responsible for Carroll’s capture in 2003. Ryan, working closely with an FBI team, including Mike Weston and FBI Specialist Debra Parker, piece together the ever-growing web of murders orchestrated by the devious Carroll.",https://image.tmdb.org/t/p/original/tiSvhb2cyPAULTql5atgxceNvpF.jpg,6.8,80,18
