id,original_language,overview,poster_path,release_date,title,vote_average,genre_1,genre_2
1018332,en,"A naval officer stands trial for mutiny after taking command from a ship's captain he felt was acting in an unstable fashion, endangering both the ship and its crew.",https://image.tmdb.org/t/p/original/jii0CWMcjFmCfrTXsRyMuwjlNY3.jpg,2023-09-03,The Caine Mutiny Court-Martial,6.8,18,10752
38365,en,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",https://image.tmdb.org/t/p/original/cQGM5k1NtU85n4TUlrOrwijSCcm.jpg,2010-06-24,Grown Ups,6.4,35,
652,en,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.",https://image.tmdb.org/t/p/original/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,2004-05-13,Troy,7.2,12,36
475557,en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",https://image.tmdb.org/t/p/original/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-01,Joker,8.2,80,53
875188,hi,"Three best friends juggle life as 20-somethings in Mumbai, where romance, ambition and heartbreak collide with the addictive draw of social media.",https://image.tmdb.org/t/p/original/WUptEusy1sMh3s46Ik7QbfoKts.jpg,2023-12-26,Kho Gaye Hum Kahan,6.0,18,
384843,ja,"A story of the everyday life of a couple living together, ordinary but full of warmth and love. Starring Miura and Yamaguchi's first movie since making public of their romance--their real-life story on the screen.",https://image.tmdb.org/t/p/original/2vDybKQZE95aXnuvTQH6NYUrZWN.jpg,1979-12-22,Temptation of Angel,5.5,18,
284052,en,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",https://image.tmdb.org/t/p/original/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,2016-10-25,Doctor Strange,7.4,28,12
994143,en,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",https://image.tmdb.org/t/p/original/o942912KFh89SGhqWuKXuT0SXzN.jpg,2023-01-13,Skinamarink,5.6,27,9648
106,en,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,https://image.tmdb.org/t/p/original/vQhYhYsOBECkQzvSC3jInKv9CLf.jpg,1987-06-12,Predator,7.5,878,28
439079,en,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,https://image.tmdb.org/t/p/original/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,2018-09-05,The Nun,5.9,27,9648
997294,es,"Years after his mysterious disappearance, Julio Arenas, a famous Spanish actor, is back in the news thanks to a television program.",https://image.tmdb.org/t/p/original/czUKm6JUutIg55EcRJ7CRAAzFMU.jpg,2023-08-16,Close Your Eyes,6.7,18,9648
497,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",https://image.tmdb.org/t/p/original/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,The Green Mile,8.5,14,18
1211814,en,"A poetic meditation on nature, mortality, and the passage of time in her exploration of our symbiotic nexus with trees. Weaving together several stories of arboreal adoration, unfolds as a deeply human tale of our connection to the natural world and to one another.",https://image.tmdb.org/t/p/original/n6ovshkVrYa7aXhJ2elqyN1IgyC.jpg,2023-12-12,Trees and Other Entanglements,6.5,99,
616747,en,A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.,https://image.tmdb.org/t/p/original/8Im6DknDVxRiGXc5t8rVOJyzuNx.jpg,2023-07-26,Haunted Mansion,6.6,14,35
457232,en,"Follow the launch of Lamborghini’s career as a manufacturer of tractors, a creator of military vehicles during World War II, and the designer of Lamborghini cars, which he launched in 1963 as the high-end sports car company Automobili Lamborghini.",https://image.tmdb.org/t/p/original/RKgnYLhCNGCUkrhiCRrs40rEHe.jpg,2022-11-18,Lamborghini: The Man Behind the Legend,6.4,18,36
109418,en,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",https://image.tmdb.org/t/p/original/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,2013-07-11,Grown Ups 2,6.1,35,
656793,en,"On a cold Christmas Eve, former mild-mannered college student Casey Smallwood is released from prison after serving ten years for underage drinking. Eager to get out of town, he plans to meet his longtime pen pal on a train to Washington, D.C., but after the holiday express enters the winter wilderness, it’s hijacked by an angry gang of domestic terrorists and highly-intelligent, government-trained raccoons! Not one to back down from a raccoon fight, Casey joins forces with a porter on the train to fight the terrorists and help bring down a top secret, raccoon-controlled, military laser satellite!",https://image.tmdb.org/t/p/original/9axSCNLm39ztxqUsOPf9FqSSecl.jpg,2019-12-05,Killer Raccoons 2: Dark Christmas in the Dark,5.2,35,28
629542,en,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",https://image.tmdb.org/t/p/original/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg,2022-03-17,The Bad Guys,7.6,16,28
